id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
12059101,Cosy room in bohemian apartment (shared),64596266,Henkk,,De Pijp - Rivierenbuurt,52.34476,4.89201,Private room,99.0,2,271,2024-09-03,2.66,1,309,48,0363 DFA3 9B23 DCE8 BFFC
12619145,"Heerlijke buurt, naast fijn park!",14087004,Wouter,,Westerpark,52.38416,4.87143,Entire home/apt,98.0,3,77,2024-08-27,0.76,1,31,2,0363 C6EE 59F0 5FED 045E
13034385,Private room at the  KNSM island Amsterdam,45863923,Jan Willem,,Oostelijk Havengebied - Indische Buurt,52.377174377441406,4.94814395904541,Private room,97.0,2,178,2024-07-28,1.77,1,28,22,0363 0BB4 935D AD9D 4392
13035842,Nice room in quiet and green location,72066526,Wenda,,Noord-West,52.40662,4.92246,Private room,90.0,2,60,2024-08-27,0.6,1,113,17,0363D10C88770514B649
13040996,Twin Bed in private room in center of Amsterdam!,31817443,Gina,,Westerpark,52.38741,4.88208,Private room,75.0,2,588,2024-08-20,5.92,2,126,72,0363 BB9D F026 723D 64AD
13072405,Francesco's house,38499430,Francesco,,Geuzenveld - Slotermeer,52.37788,4.8029,Private room,71.0,1,318,2024-07-19,3.16,1,8,25,0363 E4D1 58DE 82C0 D146
13134714,Amstel Joy,73169850,Luchiena,,Oud-Oost,52.35015,4.9135,Private room,95.0,2,151,2024-09-02,1.51,1,67,19,0363 28E1 79A9 9E6C DEA8
13429174,Garden apartment. Private room. Old West Amsterdam,76572471,Glendon,,De Baarsjes - Oud-West,52.37178,4.85301,Private room,70.0,3,380,2024-08-18,4.35,2,20,75,0363 0A67 E566 D0FA AE65
13554855,Lady's only,68688117,Laura,,Centrum-Oost,52.36384,4.88328,Private room,97.0,3,110,2024-07-20,1.1,1,256,15,0363 58A7 9FF0 2C33 F9A6
13826877,"Private apartment near museums, RAI and Zuid WTC!",21232464,Simon,,Zuid,52.34734,4.87086,Private room,85.0,2,67,2024-08-17,0.7,1,22,46,0363 F3A7 F7BD F34E 096A
13836709,Amsterdam North Loft,21866990,Berith,,Noord-West,52.40451,4.91506,Private room,75.0,3,165,2024-08-12,1.71,1,16,14,0363 CA1A 7CDA FA4C 38DB
13837559,Comfortable & cosy 6th floor room close to center,60394903,Emil,,Slotervaart,52.3508,4.84169,Private room,68.0,2,164,2024-06-25,1.81,1,62,13,0363 E2B4 62E6 3988 C0A2
